v1,v2
ham,"Я собираюсь попробовать в течение 2 месяцев, ха-ха, просто шучу"
ham,"Так что  _ заплати сначала lar... Тогда, когда появятся акции da..."
ham,"На корме я заканчиваю свой обед, а затем спускаюсь вниз по лестнице. Ард 3 что-то еще. Ты уже заканчиваешь свой обед?"
ham,"Фффффффффффф. Хорошо, я никак не могу встретиться с тобой раньше?"
ham,"Просто заставил себя съесть кусочек. Я действительно не голоден, хотя. Это отстой. Марк начинает беспокоиться. Он знает, что меня тошнит, когда я отказываюсь от пиццы. Лол"
ham,"Лол, ты всегда такая убедительная."
ham,Ты успел на автобус ? Ты жаришь яйцо ? Ты заварила чай? Ты ешь мамины остатки от ужина ? Ты чувствуешь мою Любовь ?
ham,"Я вернулся, и мы сейчас пакуем машину, я дам вам знать, если найдется место"
ham,Аааа. Работать. Я смутно это помню! На что это похоже? Лол
ham,"Подожди, это все еще не совсем ясно, ты не был уверен насчет моего сарказма или в том, что именно поэтому икс не хочет жить с нами"
ham,"Да, он пришел в 2 и очень извинялся. n поссорился, и она вела себя как избалованный ребенок, и он был втянут в это. До 2! Но мы туда не пойдем! Не так уж плохо справляемся, ура. Ты? "
ham,К. расскажи мне что-нибудь о себе.
ham,"Из-за страха упасть в обморок от всей той работы по дому, которую ты только что сделала? Быстро выпей чашечку чая"
spam,"Спасибо за подписку на Ringtone UK с вашего мобильного телефона будет взиматься плата в размере 5 рубв месяц, пожалуйста, подтвердите это, ответив ""ДА"" или ""НЕТ"". Если вы ответите ""НЕТ"", с вас не будет взиматься плата"
ham,"Ага... Хорошо, я иду домой, смотрю на тайминги, затем снова набираю msg  _... Сюхуэй тоже собирается учиться 2 мая, но ее урок в 8 утра"
ham,"Упс, я дам тебе знать, когда мой сосед по комнате закончит"
ham,Я вижу букву В на своей машине
ham,"Все, что угодно, лор... Тебе решать..."
ham,"Привет! Как ты и как прошла суббота? Я просто переписывалась, чтобы узнать, не решила ли ты что-нибудь сделать для меня. Не то чтобы я пытался пригласить самого себя или что-то в этом роде!"
ham,"Пожалуйста, продолжайте с ваттами. Я просто хотел быть уверенным. Желаю вам отлично провести выходные. Абиола"
ham,"Я забыл тебе сказать ? Я хочу тебя , ты мне нужен, я жажду тебя ... Но больше всего ... Я люблю тебя , мой милый арабский скакун ... Мммммм ... Вкуснятина"
spam,"07732584351 - Rodger Burns - СООБЩЕНИЕ = Мы пытались позвонить вам после вашего ответа на наше sms для бесплатного мобильного телефона Nokia + бесплатная видеокамера. Пожалуйста, позвоните сейчас 08000930705, чтобы заказать доставку завтра"
ham,С КЕМ ТЫ ВСТРЕЧАЕШЬСЯ?
ham,"Отлично! Я надеюсь, вам нравится, когда ваш мужчина хорошо обеспечен. Я  12:00 в дюймах..."
ham,Нет звонков .. сообщений .. пропущенных вызовов
ham,Разве вы не получали прививку от гепатита В в Нигерии.
ham,"Достаточно честно, что-нибудь происходит?"
ham,"Да, надеюсь, если Тайлер не сможет этого сделать, я мог бы, возможно, немного поспрашивать вокруг"
ham,"Ты не знаешь, какая я упрямая. Я даже не хотела ехать в больницу. Я продолжал говорить Марку, что я не слабый молокосос. Больницы - это для слабаков."
ham,Что ты думал обо мне. Впервые ты увидел меня в классе.
ham,"Грамм обычно работает как  12:00 , хотя половина восьмой умнее и дает вам почти целую секунду грамма за  12:00"
ham,"К твоему сведению, завтра рано утром икс уезжает, но вечером он заедет к нам"
ham,"Вау. Я никогда не понимал, что вы были так смущены своим размещением. Я думал, тебе это понравилось, потому что я делал все, что мог, и ты всегда казался таким счастливым из-за ""пещеры"". Мне жаль, что я не мог и не имею больше ничего дать. Мне жаль, что я предложил. Мне жаль, что твоя комната была такой неловкой."""
spam,"SMS. ac Sptv: ""Нью-Джерси Дэвилз"" и ""Детройт Ред Уингз"" играют в хоккей с шайбой. Правильный или неправильный? Конец? Завершение ответа SPTV"
ham,"Вы знаете, что Маллика Шерават сделала вчера? Узнай это сейчас @  &lt;URL&gt;"
spam,"Поздравляю! специальный абонемент в кинотеатр на 2 года - ваш. звоните 09061209465 прямо сейчас! C Suprman V, Matrix3, StarWars3 и т.д. все 4 бесплатно! bx420-ip4-5we. 150pm. Не пропустите! "
ham,"Извините, я позвоню позже на собрании."
ham,"Расскажите, куда вы добрались"
ham,Да .. гаути и сехваг вышли из серии odi.
ham,Тебе придется купить бургер за 1 доллар для себя по дороге домой. Я даже пошевелиться не могу. Боль убивает меня.
ham,Ха-ха-ха хорошая шутка. Девушки - искатели положения.
ham,Это часть проверки IQ
ham,"Извините, что мои соседи по комнате задержались на целую вечность, ничего, если я зайду сейчас?"
ham,"Хорошо, лар, я уже дважды проверила парикмахера, он сказал, что вун коротко подстригла Ви. Он сказал, что будет стричь до тех пор, пока я не буду хорошо выглядеть."
spam,"Как уважаемый клиент, я рад сообщить вам, что после недавнего пересмотра вашего мобильного номера вы награждены бонусным призом в размере 1500 руб. Позвоните по телефону 09066364589"
ham,"Сегодня день, посвященный песне.."" Какую песню ты посвятишь мне? Разошлите это всем вашим ценным друзьям, но сначала объясните мне ..."""
spam,"Срочный УР получает бесплатную поездку в EuroDisinc Trav, Aco &amp; Entry41 или 1000 руб. Чтобы заявить, что txt- это 87121 18+6* 1.50 (более 500 руб.) ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Ты слышал о новой ""Барби для развода""? Он прилагается ко всем вещам Кена!"""
ham,Я планирую дать в конце этого месяца.
ham,"Вау, счастливчик... Тогда сможете сэкономить деньги... Хи..."
ham,"Закончил урок, где ты."
ham,"ПРИВЕТ, ДЕТКА, Я СЕЙЧАС ДОМА, ХОЧЕШЬ ЧТО-НИБУДЬ СДЕЛАТЬ? XX"
ham,К.К.:)где ты?как вы выступили?
ham,Ты можешь позвонить мне прямо сейчас...
ham,"Я жду махана. Позвони мне, как только освободишься."
ham,Это круто. я джентльмен и буду относиться к вам с достоинством и уважением.
ham,"Вы, люди, мне очень нравитесь:) но я очень застенчивый па."
ham,Не работает после  12:00 или чего
ham,Здесь все по-другому. Все еще ищу работу. Сколько там зарабатывают Та.
ham,"Извини, я позвоню позже"
ham,"К. Ты мне только что звонил, а? "
ham,"Хорошо, я на пути к дому, привет, привет"
ham,Ты будешь на месте этого человека
ham,"Да, следующая остановка."
ham,"Я позвоню тебе позже, у меня нет сети. Если ургнт, напиши мне смс."
ham,"По-настоящему, когда ты заводишься, йо? Мне нужно всего лишь еще 2 билета и еще один пиджак, и все готово. Я уже использовал все свои мультисы."
ham,"Да, я начал посылать запросы, чтобы сделать это, но боль вернулась, так что я снова в постели. Двойные монеты тоже на фабрике. Я должен обналичить все свои нитро."
ham,"Я действительно все еще не готов к этому сегодня вечером, детка."
ham,"Эла кано., чтобы скачать, приходите бесплатно.."
ham,"Да, делай! Не стойте, чтобы закрыть это - вы что-нибудь подхватите!"
ham,"Извини, что причиняю тебе боль. Ничего, если мы встретимся в другой вечер? Я провел поздний вечер в отделе неотложной помощи, и это означает, что я ничего не делал из того, что делал раньше, и это включает в себя все мои табели учета рабочего времени и все такое. Извините. "
ham,"Улыбайся от удовольствия, Улыбайся от боли, Улыбайся, когда неприятности льются дождем, Улыбайся, когда sum1 Причиняет тебе боль, Улыбайся, потому что КОМУ-ТО все еще нравится видеть тебя Улыбающимся!!"
spam,"Пожалуйста, позвоните нашему представителю службы поддержки клиентов по телефону 0800 169 6031 с 10 утра до 9 вечера, так как вы выиграли гарантированный приз в размере 1000 рубналичными или 5000 руб!"
ham,"Не планирую покупать позже. Я уже проверяю, что Лидо получил только 530 шоу во второй половине дня. Ты уже заканчиваешь работу?"
spam,"Ваш бесплатный рингтон ждет, когда его заберут. Просто отправьте пароль ""MIX"" на номер 85069 для подтверждения. Позови Ашера и Бритни. FML"
ham,Смотришь фильм на телугу .. что с тобой?
ham,"я понимаю. Когда мы закончим, нам нужно будет выплатить кучу кредитов"
ham,"Привет. Все было в порядке - теперь каникулы! Да, на небольшую пробежку. Забыла, что у меня назначена встреча с парикмахером в четыре, так что нужно заранее заехать домой и принять душ. Вызывает ли это у вас проблемы?"
ham,"Пожалуйста, не пиши мне больше. Мне больше нечего сказать."
ham,"Хорошо, назовите вашу цену, если она законна! Когда я могу их забрать? Y u ave x ams xx"
ham,Я все еще ищу машину для покупки. И еще не сдал 4-й экзамен по вождению.
ham,"В соответствии с вашим запросом ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" была установлена в качестве вашей мелодии звонка для всех абонентов. Нажмите * 9, чтобы скопировать мелодию звонка ваших друзей"
ham,"ух ты. Ты прав! Я не хотел этого делать. Думаю, как только я отказалась от boston men и сменила место поиска на Нью-Йорк, что-то изменилось. Потому что на моей странице регистрации все еще написано ""Бостон""."
ham,"Умма моя жизнь и вава умма очень любят тебя, дорогая"
ham,"Большое спасибо за ваши пожелания в мой день рождения. Спасибо вам за то, что сделали мой день рождения по-настоящему незабываемым."
ham,"Ладно, я позвоню тебе, когда получу немного наличных"
ham,"Как бы мой IP-адрес проверил это, учитывая, что мой компьютер не является сервером minecraft"
ham,"Я знаю! Сварливые старики. Моя мама сказала, что тебе лучше не врать. С другой стороны, я всегда тот, кто разыгрывает шутки..."
ham,"Не волнуйся. Я думаю, он занят."
ham,Каково множественное число существительного research (исследование)?
ham,Иду на ужин.сообщение тебе после.
ham,"Я в порядке с этим, потому что мне нравится пробовать что-то новое. Но я напугал тебя, как маму. Потому что ты сказал не слишком громко."
spam,"ДЖЕНТЛЬМЕН! Мы пытаемся связаться с вами. Розыгрыш в прошлые выходные показывает, что вы выиграли гарантированный приз в размере 1000 руб. Звоните 09064012160. Код претензии K52. Действителен только 12 часов. 150 ppm"
ham,"Ва, твое начальное предложение очень формально... В любом случае, я тоже в порядке, потому что я слишком много ем и набираю вес ... Ха-ха... Так случилось что-нибудь особенное?"
ham,"Когда я вошел в свою каюту, мой папа сказал: ""С днем рождения, босс !!"". Я чувствовала себя особенной. Она попросила меня пообедать 4 раза. После обеда она пригласила меня к себе домой. Мы отправились туда."
spam,"Вы победитель, вы были специально отобраны 2 получите 1000 рубили путевку 4 * (авиабилеты вкл.) поговорите с оператором в прямом эфире 2 заявки 0871277810910p / мин (18+) "
ham,"Молодец! Да, мы должны поговорить о пятнице - необходимо соотношение яиц и картофеля для тортильи! "
ham,"Hmm...my дядя только что сообщил мне, что он платит школе напрямую. Поэтому, пожалуйста, купите еду."
spam,ЛИЧНОЕ! В выписке с вашего счета за 2004 год для 07742676969 указано 786 неиспользованных бонусных баллов. Для подачи заявки позвоните по номеру 08719180248 Идентификационный код: 45239 Истекает срок действия
spam,"СРОЧНО! Ваш номер мобильного телефона был награжден бонусным призом в размере 2000 рубот 9.05.03 Это наша последняя попытка связаться с Вами! Звоните со стационарного телефона 09064019788 BOX42WR29C, 150 PPM"
ham,"вот мой новый адрес -яблоки, пары и всякая такая ерунда"
spam,"Сегодняшние номера Voda, заканчивающиеся на 7548, выбираются для получения премии в размере 350 долларов. Если у вас есть совпадение, пожалуйста, позвоните по телефону 08712300220, указав код заявки 4041 приложение standard rates"
ham,Сегодня я отправляюсь в Сан-Му. Будет сделано только в 12
ham,"  спрогнозируй, когда  _ закончишь покупать?"
ham,"Хорошая штука, сойдет."
ham,"Просто чтобы вы знали, йетунде еще не отправила денег. Я просто отправил ей сообщение, чтобы она не утруждала себя отправкой. Итак, все кончено, вам не нужно ни во что себя вовлекать. Во-первых, я не должен был тебе ничего навязывать, так что за это я приношу извинения."
ham,"Ты там, в комнате."
ham,"ПРИВЕТ, ДЕВОЧКА. КАК Ты? надеюсь, Ты ХОРОШО СО МНОЙ СПРАВИШЬСЯ! ОПЯТЬ ДОЛГОЕ ВРЕМЯ НЕ БЫЛО C! ПОЗВОНИ МНЕ В ЛЮБОЕ ВРЕМЯ ОТ LUCYxx"
ham,К.К.:)сколько это стоит?
ham,Я дома.
ham,"Дорогой, позвоню завтра. пожалуйста, соглашайся."
ham,Сначала ответь на мой вопрос.
spam,"Тест на солнечное сияние Wkly Q! Выиграйте лучший DVD-плеер Sony, если вы знаете, в какой стране находится Алгарве? Текстовый ответ на номер 82277.  1.50 SP:Тайрон"
spam,"Хочешь, чтобы мы потрахались сегодня вечером? Хотите, чтобы реальные локации для слежки отправлялись напрямую мобу 2 ur? Присоединяйтесь к крупнейшей в Великобритании сети Dogging bt Txting GRAVEL по номеру 69888! Nt. ec2a. 31p.msg@150p"
ham,У меня есть только msn. Это yijue@hotmail.com
ham,Он там. Ты звонишь и встречаешься с ним
ham,"Нет, нет. Я проверю все комнаты перед мероприятиями"
spam,"Вы больше не будете отправлять сообщения из SVC чата. Для получения БЕСПЛАТНЫХ хардкорных сервисов ОТПРАВЬТЕ сообщение по адресу: 69988 Если вы ничего не получите, вы должны подтвердить возраст с помощью yr network и повторить попытку"
ham,"Есть c... Мне лень печатать... Я забыл  _ на лекте... Я видел мешочек, но вроде не очень приятный..."
ham,"Кей, напиши мне, когда будешь в пути."
ham,"Сэр, жду вашей почты."
ham,"Мысль свт: ""Никогда не устану заниматься мелочами, 4 милых человека ..."" Потому что .. иногда эти мелочи занимают большую часть в их сердцах.. Гуд ни8"""
ham,"Я знаю, что это так. Не могли бы вы, пожалуйста, открыть заднюю часть?"
ham,"Да, увидимся не в точку"
ham,"Как зовут сотрудника, который ведет у нас занятия?"
spam,"FreeMsg Почему ты не ответил на мое сообщение? Я похотливая, сексуальная женщина и живу неподалеку. Рад тебя слышать. Netcollex Ltd 08700621170150p за сообщение ответ от остановки до конца"
ham,"Умма.позвоню после регистрации. наша жизнь начнется с Катара, поэтому, пожалуйста, молитесь очень усердно."
ham,"К. я удалил свой контакт, вот почему?"
ham,Синду получил работу в бирла софт ..
ham,"Вино льется рекой, а у меня... у меня никогда не бывает вина.."
ham,"Да, я думаю, кино лучше, потому что не нужно спускаться на 2 плазы мач."
ham,ОК... Ваш типичный ответ...
ham,"В соответствии с вашим запросом ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" была установлена в качестве вашей мелодии звонка для всех абонентов. Нажмите * 9, чтобы скопировать мелодию звонка ваших друзей"
ham,"Ты повсюду в грязи, на полу, на окнах, даже на моей рубашке. И иногда, когда я открываю рот, ты - это все, что вытекает наружу. Я мечтаю о своем мире без тебя, и тогда половина моих обязанностей тоже отпадает. Время радости для меня, много телешоу, которые я увижу. Но я думаю, что, как и все остальное, ты просто должен существовать, как дождь, град и туман, и когда мое время здесь подойдет к концу, мы с тобой станем одним целым."
ham,Ооооочень хорошо ты на работе?
ham,Я сейчас ухожу из своего дома...
ham,"Здравствуй, любовь моя. Что ты делаешь? Ты сегодня был на том собеседовании? Ты... ты счастлив? Ты ведешь себя как хороший мальчик? Ты думаешь обо мне?Ты скучаешь по мне ?"
spam,"Уведомление службы поддержки клиентов. Вас ждет новогодняя доставка. Пожалуйста, позвоните по телефону 07046744435 сейчас, чтобы организовать доставку"
spam,"Вы победитель, вы были специально отобраны 2 получите 1000 рубналичными или путевку 4 * (авиабилеты вкл.) поговорите с оператором в режиме реального времени 2 подайте заявку 0871277810810"
ham,"Береги себя ради меня, потому что ты мне нужен, и я уже скучаю по тебе, и я завидую всем, кто видит тебя в реальной жизни."
ham,Новая машина и дом для моих родителей.:)у меня есть только новая работа в руках:)
ham,"Я так влюблена в тебя. Я радуюсь каждому дню, который провожу с тобой. Ты делаешь меня такой счастливой."
spam,"-ПОЖАЛУЙСТА, остановите bootydelious (32 / F) приглашает вас стать ее другом. Ответьте ""ДА""-434 или ""НЕТ""-434 Увидимся с ней: www.SMS.ac/u/bootydelious ПРЕКРАТИТЬ? Отправьте STOP FRND на номер 62468"
spam,"Ваш заказ от BangBabes уже в пути. Вы ДОЛЖНЫ получить сообщение об услуге 2 для загрузки вашего контента. Если вы этого не сделаете, перейдите на wap. bangb. телевизор в ВАШЕМ мобильном интернете /сервисное меню"
ham,Я уже размещаю все ваши баллы в модуле e cultures.
spam,"СРОЧНО! Мы пытаемся связаться с вами. Розыгрыш в прошлые выходные показывает, что вы выиграли гарантированный приз в размере 900 руб. Звоните 09061701939. Код претензии S89. Действителен только 12 часов"
ham,"Привет, друг, какой лучший способ избежать недопонимания со стороны нашего любимого человека?"
ham,"Отличный побег. Мне нравится бридж, но мне нужно ее светлое пиво. Увидимся , томо "
ham,Да :)это совершенно не в форме:)кларк тоже полное расточительство.
ham,"Сэр, мне нужен номер банковского счета AXIS и адрес банка."
ham,"Хммм.. У тебя точно есть время прыгнуть подальше... Да, могу пойти 4 раза бесплатно... Муз звонит тебе, чтобы обсудить ляо... "
ham,Во сколько ты спустишься позже?
ham,"Черт возьми, не могу поверить, что ты забыл мою фамилию Мистер. Я дам вам подсказку, оно испанское и начинается на ""м""... "
ham,"Ну, а теперь я собираюсь закончить мыться. Спокойной...прекрасной ночи."
ham,"Дай мне знать, когда у тебя будут деньги, чтобы Карлос мог позвонить"
ham,Ты все еще ходишь в торговый центр?
ham,"Оказывается , мои друзья остаются на все шоу и не вернутся до ~  12:00 , так что не стесняйтесь идти вперед и выкуривать на сумму в $  12:00"
ham,"Напиши ей. Если она не ответит, дайте мне знать, чтобы я мог попросить ее войти в систему"
ham,"Привет! Вы только что говорили с МАНИШЕЙ В. Мы хотели бы знать, остались ли вы довольны нашим опытом. Ответьте по бесплатному телефону ""Да"" или ""Нет""."
ham,"Вы вселили в меня надежду, предложив деньги. Я в нужде. Особенно, когда приближается конец месяца и это вредит моей учебе. В любом случае, хороших выходных gr8"
ham,"Лол, нет. Ты можешь доверять мне."
ham,ОК. Я джентльмен и буду относиться к вам с достоинством и уважением.
ham,"Он будет, вы, ребята, близки?"
ham,Не происходит ничего особенного. пока
ham,"Привет , красавчик ! Ты находишь эту работу ? Не быть ленивым ? Работаешь над тем , чтобы вернуть эту сеть для мамочки ? Где сейчас мой мальчик ? Скучает ли он по мне ?"
ham,"Ха-ха, круто, буду там через минуту"
spam,"Пожалуйста, позвоните нашему представителю службы поддержки клиентов по бесплатному телефону 0808 145 4742 с 9 утра до 11 вечера, так как вы выиграли гарантированный приз в размере 1000 рубналичными или 5000 руб!"
ham,"У вас есть ""Рождественское радио таймс""? Если нет, я получу его сейчас"
ham,"Я только что добрался до дома. Сначала я иду мыться. Но моя сестра, использующая net, скажет тебе, когда закончит k..."
spam,Достаточно ли вы уникальны? Узнайте с 30 августа. www.areyouunique.co.uk
ham,"Мне очень жаль. Я присоединился к лиге людей, которые не поддерживают связь. Ты очень много значишь для меня. Ты всегда был другом, даже ценой больших личных потерь. Желаю вам отличной недели.|"
ham,Привет :) наконец-то я закончил курс:)
ham,"Это остановится само по себе. Однако я предлагаю ей остаться с кем-то, кто сможет платить за каждый табурет."
ham,"Как у тебя дела? Надеюсь, вы освоились к новому учебному году. Просто желаю вам хорошего 8-го дня"
ham,"Добрый день, мистер дорогой, хорошего дня"
ham,У тебя есть история с этими людьми
ham,"ваш хомяк мертв? Эй, так что, пмр, встретимся в 13:00 по метро орчард? "
ham,"Привет, это Кейт, как проходит твой вечер? Я надеюсь, что смогу увидеться с тобой завтра ненадолго, но мне нужно, черт возьми, в детскую кроватку! Отправь текст обратно, если сможешь. :) ххх"
ham,"Нашел это, ENC  12:00 , где ты?"
ham,Я отправил тебе  12:00 баксы
ham,"Привет, дорогая, я уже закончил колледж, так что напиши мне, когда закончишь, сможешь ли ты любить Кейт ХХХ"
ham,Ваш аккаунт был успешно пополнен на INR &lt;ДЕСЯТИЧНЫЙ&gt; . Баланс вашего предоплаченного счета KeralaCircle равен Rs &lt;ДЕСЯТИЧНОЙ дроби&gt; . Ваш идентификатор транзакции - KR  12:00 .
ham,"Доброе утро, спящая девушка."
ham,"Ты позвонишь мне альтер в 11, хорошо."
ham,"  скажите, что до тех пор, пока мне не понравится, я не смогу купить ericsson oso или что-либо другое..."
ham,"Когда я вошел в свою каюту, мой папа сказал: ""С днем рождения, босс !!"". Я чувствовала себя особенной. Она попросила меня пообедать 4 раза. После обеда она пригласила меня к себе домой. Мы отправились туда."
ham,"Эй, йоу, настоящий натурал!"
ham,"Пожалуйста, сообщите нам о самом подключении сегодня до &lt;DECIMAL&gt; или верните счет"
ham,"И то, и другое :) я снимаю большие партии, так что приготовьтесь!"
ham,"Как дела, братан, надеюсь, ты отлично отдохнул. У вас действительно будет полезный семестр."
ham,"Домой, чтобы мы всегда могли поболтать"
ham,К:)к:)хорошо:) хорошо учись.
ham,Ага... Как  _ ноэ лех...
ham,Звучит здорово! Ты сейчас дома?
ham,"Наконец, матч, по вашему прогнозу, идет к ничьей."
ham,Устал. Я плохо спал последние несколько ночей.
ham,"Легко, а?сен был выбран, значит, это хорошо.."
ham,Я должен сдавать экзамен с 3 марта
ham,"Да, ты должен. Я думаю, теперь вы можете зарегистрироваться в своем gt atm. Не уверен, но если я в любом случае смогу чем-то помочь, дайте мне знать. Но когда вы это сделаете, будьте уверены, что вы готовы."
ham,"Ок, никаких проблем. Не торопись."
ham,"Существует ОС под названием ubandu, которая будет запускаться без установки на жесткий диск ... вы можете использовать эту ОС для копирования важных файлов в системе и передачи их в ремонтную мастерскую.."
ham,"Извини, я позвоню позже"
ham,"Ты говоришь лех... Конечно, ничего не случилось, лар. Не сказать, что романтично, просто немного только лор. Я думаю, что ночной пейзаж не такой уж приятный, лех."
spam,"500 Новых мобильных телефонов 2004 года выпуска, ДОЛЖНЫ БЫТЬ ВЫПУЩЕНЫ! Текст: NOKIA на номер: 89545 и забери свой сегодня!Всего от  1 www.4-tc.biz 2опта 087187262701,50gbp/mtmsg18"
ham,"Был бы очень признателен, если бы вы позвонили мне. Просто нужно с кем-то поговорить."
spam,"Скоро ли ты встретишь партнера своей мечты? Является ли твоя карьера на 2-м этапе стремительным стартом? 2 узнайте бесплатно, текст ХОРО, за которым следует ваш знак зодиака, например, ХОРО ОВЕН"
ham,"Привет, компания элама по мудьядху."
ham,"Жизнь более строга, чем учитель... Учитель Bcoz преподает урок, а затем проводит экзамен, но Жизнь сначала проводит экзамен, а затем преподает Уроки. Счастливого утра. . ."
ham,"Дорогое доброе утро, теперь только я не сплю"
ham,Спускайтесь в гандхипураме и идите пешком до кросс-кат-роуд. Правая сторона  12:00 уличной дороги и поверните сначала направо.
ham,"Дорогая, мы отправляемся в наше резиновое заведение"
ham,"Извините, батарейка села, да, я здесь"
ham,Да:) здесь телевизор всегда доступен на рабочем месте..
spam,"Напиши и познакомься с кем-нибудь сексуальным сегодня. Вы можете найти себе пару или даже пофлиртовать с ней до U. Присоединяйтесь к 4 всего за 10 пенсов. ОТВЕТЬТЕ, указав ИМЯ и ВОЗРАСТ, например, Сэм 25. 18 -сообщение recd@тридцать восемь пенсов"
ham,Я напечатал это о. Так что  12:00 поднимайся наверх
ham,"Или я буду немного ближе, например, на автобусной остановке на той же улице"
ham,Где ты находишься?когда ты доберешься сюда?
ham,"Новая теория: Аргумент выигрывает СИТУАЦИЮ, но проигрывает ЧЕЛОВЕКА. Так что не спорь со своими друзьями, просто ... пни их и скажи, что я всегда прав.!"
spam,"У вас 447801259231 есть тайный поклонник, который ищет 2. свяжитесь с Вами -узнайте, кто из них R * раскройте, кто считает ВАС такой особенной -позвоните по телефону 09058094597"
ham,"Провести заключительное слушание по делу о моем ноутбуке, так что я не могу."
ham,"ПОЖАЛУЙСТА, СССССССЕЕЕЕЕЕ, СКАЖИТЕ МНЕ, Что АВЕНТ ГОТОВ SportsX"
ham,"Ладно. Нет-нет, просто сияет дальше. Это должно было означать подписание, но так звучит лучше."
ham,"Хотя я сказал тебе, что сейчас мне нравятся часы baig face, но мне действительно нравятся часы, которые ты подарил, потому что они для тебя. Спасибо 4 за все, что ты сделал сегодня, я тронут..."
ham,Ты не помнишь ту старую рекламу?
ham,"Слишком поздно. Я сказал, что у меня есть веб-сайт. У меня не было или не имею тапочек"
ham,"Я просил тебя позвонить ему сейчас, хорошо"
ham,Каллис не будет отбивать во 2-м иннинге.
